SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0020031,Moore River  Limestone 2/WA Lmst,Moore River Limestone 2 / WA Limestone,Mine,Openpit,Operating,J01594,Moore River Limestone / WA Limestone,115.522852000000000,-31.333048999999999,359468,6532545,50,Lst Dst,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,2035,GINGIN,SH50-14,PERTH,"GINGIN, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Vlaming Sub-basin,20260112
S0020044,Koonoonooka Sand,Koonoonooka Sand,Mine,Openpit,Operating,J00440,Leinster,120.789507000000000,-27.768926000000000,282166,6926436,51,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,3042,SIR SAMUEL,SG51-13,SIR SAMUEL,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",36,LAWLERS,Yilgarn Craton granites,20260112
S0020065,Clark,Clark - Kookynie,Mine,Unspecified,Operating,J02010,Ulysses Gold,121.374566999999999,-29.198582999999999,341975,6768918,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3139,MELITA,SH51-05,MENZIES,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",40,NIAGARA,Eastern Goldfields Superterrane,20260112
S0020066,Moore River Limestone 1/WA Lmst,Moore River Limestone 1 / WA Limestone,Mine,Openpit,Operating,J01594,Moore River Limestone / WA Limestone,115.517904000000001,-31.322603000000001,358981,6533696,50,Lst Dst,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,2035,GINGIN,SH50-14,PERTH,"GINGIN, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Vlaming Sub-basin,20260112
S0020088,A-WPN,West Angelas Deposit A - West Pit North,Mine,Openpit,Operating,J00706,West Angelas,118.750108999999995,-23.176755000000000,679138,7435836,50,Fe,Iron,IRON ORE,West Angelas Deposit A - West Pit North,N,,N,,Operating Mine,Public,2651,GOVERNOR,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20260112
S0020091,Nanga Brook Rd Lot 731 / Hull,Nanga Brook Rd Waroona Lot 731 / Hull,Mine,Openpit,Operating,J01177,Waroona / Charles Hull Contracting,115.981875000000002,-32.801042000000002,404676,6370310,50,Agg Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2032,PINJARRA,SI50-02,PINJARRA,"WAROONA, SHIRE OF","PEEL, Development Region",70,SOUTH WEST M.F.,South West Terrane,20260112
S0020129,In-Pit TSF,Golden Age In-Pit TSF,Mine,Tailings storage facility,Operating,J02624,Matilda,120.246706000000003,-26.620325999999999,225856,7052664,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,2944,WILUNA,SG51-09,WILUNA,"WILUNA, SHIRE OF","MID-WEST, Development Region",53,WILUNA,Eastern Goldfields Superterrane,20260112
S0020156,Deep Creek Ferricrete,Deep Creek Ferricrete,Mine,Openpit,Operating,J02363,Collins Lagoon,122.827066000000002,-17.774296000000000,481670,8034777,51,Gvl Brck Lst,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,3462,LAKE EDA,SE51-06,BROOME,"BROOME, SHIRE OF","KIMBERLEY, Development Region",4,WEST KIMBERLEY M.F.,Fitzroy Trough,20260112
S0020166,Cataby Pit 14,Cataby Pit 14,Mine,Openpit,Operating,J00478,Cataby / Iluka,115.523763000000002,-30.738672999999999,358679,6598428,50,HM Ilm Zrn Rt Grt Leu St Mnz IlmRt-syn,Speciality metal,HEAVY MINERAL SANDS,,N,,,,,Public,2036,DANDARAGAN,SH50-10,MOORA,"DANDARAGAN, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Coomallo Trough,20260112
S0020167,Cataby Pit 8,Cataby Pit 8,Mine,Openpit,Operating,J00478,Cataby / Iluka,115.552182000000002,-30.751121999999999,361418,6597084,50,HM Ilm Leu Zrn St Rt Grt Mnz IlmRt-syn,Speciality metal,HEAVY MINERAL SANDS,Cataby Pit 8,N,,N,,Operating Mine,Public,2036,DANDARAGAN,SH50-10,MOORA,"DANDARAGAN, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Coomallo Trough,20260112
S0020169,Cataby Pit 10,Cataby Pit 10,Mine,Openpit,Operating,J00478,Cataby / Iluka,115.534154999999998,-30.757010000000001,359701,6596409,50,HM Ilm Leu Zrn St Rt Grt Mnz IlmRt-syn,Speciality metal,HEAVY MINERAL SANDS,Cataby Pit 10,N,,N,,Operating Mine,Public,2036,DANDARAGAN,SH50-10,MOORA,"DANDARAGAN, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Coomallo Trough,20260112
S0020172,Cataby Pit 2,Cataby Pit 2,Mine,Openpit,Operating,J00478,Cataby / Iluka,115.567310000000006,-30.798576000000001,362933,6591843,50,HM Ilm Zrn Rt Leu Grt St Mnz IlmRt-syn,Speciality metal,HEAVY MINERAL SANDS,Cataby,Y,"HM, Ilm, Zrn, Rt, Leu, Grt, St, Mnz, IlmRt-syn",Y,,Operating Mine,Public,2036,DANDARAGAN,SH50-10,MOORA,"DANDARAGAN, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Coomallo Trough,20260112
S0020173,Cataby Pit 1,Cataby Pit 1,Mine,Openpit,Operating,J00478,Cataby / Iluka,115.606344000000007,-30.834008000000001,366717,6587963,50,HM Ilm Zrn Rt Grt Leu IlmRt-syn St Mnz,Speciality metal,HEAVY MINERAL SANDS,Cataby Pit 1,N,,N,,Operating Mine,Public,2036,DANDARAGAN,SH50-10,MOORA,"DANDARAGAN, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Dandaragan Trough,20260112
S0020192,Kununurra 3/Northover,Kununurra 3 / Northover,Mine,Openpit,Operating,J02345,Kununurra / Northover,128.735304000000014,-15.397634999999999,471596,8297676,52,Lst Gvl Agg Sd Sdst,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,4667,CARLTON,SD52-14,CAMBRIDGE GULF,"WYNDHAM-EAST KIMBERLEY, SHIRE OF","KIMBERLEY, Development Region",80,KIMBERLEY M.F.,Carlton Shelf,20260112
S0020197,Tropicana,Tropicana,Mine,Openpit,Operating,J02723,Tropicana,124.553910999999999,-29.246065999999999,651001,6763752,51,Au Ag,Precious metal,GOLD,Tropicana,N,,Y,,Operating Mine,Public,3839,BARTLETT,SH51-08,PLUMRIDGE,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",39,MT. MORGANS,Tropicana Zone,20260112
S0020236,Hunter,Hunter - Woodie Woodie,Mine,Openpit,Operating,J00725,Woodie Woodie (Mining Corridor) / ConsMin,121.206119999999999,-21.602522000000000,314300,7610097,51,Mn,Steel alloy metal,MANGANESE ORE,,N,,,,,Public,3154,PEARANA,SF51-05,NULLAGINE,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",45,MARBLE BAR,Carawine Sub-basin,20260112
S0020268,Hougoumont,Hougoumont,Mine,Decline,Operating,J00527,Golden Grove,116.963026999999997,-28.774305999999999,496391,6817018,50,Zn Cu Pb Ag Au,Base metal,COPPER - LEAD - ZINC,Hougoumont,N,,N,,Operating Mine,Public,2240,BADJA,SH50-02,YALGOO,"YALGOO, SHIRE OF","MID-WEST, Development Region",59,YALGOO M.F.,Youanmi Terrane,20260112
S0020270,Xantho,Xantho,Mine,Decline,Operating,J00527,Golden Grove,116.953159999999997,-28.775324999999999,495428,6816905,50,Zn Au,Base metal,COPPER - LEAD - ZINC,Xantho,N,,N,,Operating Mine,Public,2240,BADJA,SH50-02,YALGOO,"YALGOO, SHIRE OF","MID-WEST, Development Region",59,YALGOO M.F.,Youanmi Terrane,20260112
S0020355,A-CPN,West Angelas Deposit A - Centre Pit North,Mine,Openpit,Operating,J00706,West Angelas,118.784609000000003,-23.184926000000001,682659,7434888,50,Fe,Iron,IRON ORE,West Angelas,N,,Y,,Operating Mine,Public,2651,GOVERNOR,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20260112
S0020371,Hairpin,Junction Central - Hairpin,Mine,Openpit,Operating,J00732,Yandicoogina / HI-Yandi,119.235011000000000,-22.755157000000001,729499,7481852,50,Fe,Iron,IRON ORE,Yandi,N,,Y,,Operating Mine,Public,2752,WEELI WOLLI,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20260112
S0020373,JSE,Junction Southeast (JSE),Mine,Openpit,Operating,J00732,Yandicoogina / HI-Yandi,119.260812999999999,-22.795217000000001,732081,7477375,50,Fe,Iron,IRON ORE,Junction Southeast,N,,Y,,Operating Mine,Public,2752,WEELI WOLLI,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20260112
S0020380,UG Portal,Wallaby Underground,Mine,Decline,Operating,J00134,Granny Smith,122.305126999999999,-28.852129000000001,432222,6808199,51,Au Ag,Precious metal,GOLD,Wallaby,N,,Y,,Operating Mine,Public,3340,LAVERTON,SH51-02,LAVERTON,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",38,MT. MARGARET,Yilgarn Craton granites,20260112
S0020403,Austral Juperana,Bruce Rock Granite - Austral Juperana,Mine,Openpit,Operating,J02761,Bruce Rock Granite,118.204110000000000,-32.044687000000003,613683,6453977,50,Gran Dst,Construction material,DIMENSION STONE,,N,,,,,Public,2533,NAREMBEEN,SI50-03,CORRIGIN,"BRUCE ROCK, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Yilgarn Craton granites,20260112
S0020465,Tredrea Place Lot 30 / Giacci,Tredrea Place Myalup Lot 30 / Giacci,Mine,Openpit,Operating,J03786,Harvey / Giacci,115.708980999999994,-33.124361999999998,379564,6334185,50,Lst Sd,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,2031,BUNBURY,SI50-06,COLLIE,"HARVEY, SHIRE OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,Mandurah Terrace,20260112
S0020466,Finn Rd Lot 3618 / Omaha,Finn Rd Myalup Lot 3618 / Omaha,Mine,Openpit,Operating,J04681,Myalup / Omaha Nominees Pty Ltd,115.705461000000000,-33.019542999999999,379092,6345802,50,Aglime Lst,Industrial mineral,LIMESTONE - LIMESAND,Lake Preston,N,,Y,,Operating Mine,Public,2031,BUNBURY,SI50-06,COLLIE,"HARVEY, SHIRE OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,Mandurah Terrace,20260112
S0020551,Rose Dam N,Rose Dam North,Mine,Openpit,Operating,J02780,Rose Dam,121.279264999999995,-30.510370000000002,334883,6623400,51,Au Ag,Precious metal,GOLD,Rose Dam North,N,,N,,Operating Mine,Public,3136,KALGOORLIE,SH51-09,KALGOORLIE,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",24,BROAD ARROW M.F.,Eastern Goldfields Superterrane,20260112
