X,Y,OBJECTID,TREE_ID,DATE_PLANTED,SUBURB,BOTANICAL_NAME,COMMON_NAME,FAMILY,TREE_HEIGHT,RARE_SPECIES,HISTORIC_SIGNIFICANCE,COMMUNITY_SIGNIFICANCE,SIGNIFICANT_GROUP,RETIRED
12898267.0758,-3757155.8534,12435,19252,2019/05/10 03:24:19+00,PERTH,Corymbia maculata,Spotted Gum,Myrtaceae,,No,No,No,No,
12898194.5705,-3758261.2983,12438,19255,2019/05/10 03:20:21+00,PERTH,Casuarina cunninghamiana,River Sheoak,Casuarinaceae,,No,No,No,No,
12898184.49,-3758255.5356,12439,19256,2019/05/10 03:20:38+00,PERTH,Casuarina cunninghamiana,River Sheoak,Casuarinaceae,,No,No,No,No,
12898173.1902,-3758253.0735,12440,19257,2019/05/10 03:24:06+00,PERTH,Casuarina cunninghamiana,River Sheoak,Casuarinaceae,,No,No,No,No,
12898166.2828,-3758257.8529,12441,19258,2019/05/10 03:23:25+00,PERTH,Casuarina cunninghamiana,River Sheoak,Casuarinaceae,,No,No,No,No,
12898156.6719,-3758251.7635,12442,19259,2019/05/10 03:19:45+00,PERTH,Casuarina cunninghamiana,River Sheoak,Casuarinaceae,,No,No,No,No,
12898145.7482,-3758250.4889,12443,19260,2019/05/10 03:23:25+00,PERTH,Casuarina cunninghamiana,River Sheoak,Casuarinaceae,,No,No,No,No,
12898140.2071,-3758243.4838,12444,19261,2019/05/10 03:21:14+00,PERTH,Casuarina cunninghamiana,River Sheoak,Casuarinaceae,,No,No,No,No,
12898049.3887,-3758206.2909,12445,19262,2019/05/10 03:19:28+00,PERTH,Metrosideros excelsa,New Zealand Christmas Tree,Myrtaceae,,No,No,No,No,
12897989.8149,-3758189.8526,12446,19263,2019/05/10 03:21:14+00,PERTH,Casuarina cunninghamiana,River Sheoak,Casuarinaceae,,No,No,No,No,
12897976.1812,-3758183.0227,12448,19265,2019/05/10 03:22:48+00,PERTH,Casuarina cunninghamiana,River Sheoak,Casuarinaceae,,No,No,No,No,
12896839.9094,-3757859.851,12449,19266,2019/05/10 03:22:22+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896827.6143,-3757859.7203,12450,19267,2019/05/10 03:21:58+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896813.3729,-3757859.9474,12451,19268,2019/05/10 03:23:43+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896797.5205,-3757860.9622,12452,19269,2019/05/10 03:23:25+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896784.137,-3757859.9677,12453,19270,2019/05/10 03:21:27+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896770.8597,-3757858.1224,12454,19271,2019/05/10 03:22:22+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
